x_0 f(x)
# some comment line
3.16693000e-05 -4.00001451e+00
1.00816962e-03 -3.08781504e+00
1.98466995e-03 -2.88058811e+00
2.96117027e-03 -2.75205040e+00
3.93767059e-03 -2.65736805e+00
4.91417091e-03 -2.58181091e+00
5.89067124e-03 -2.51862689e+00
9.89226496e-01 2.29825980e+00
9.90202997e-01 2.33403276e+00
9.91179497e-01 2.37306821e+00
9.92155997e-01 2.41609413e+00
9.93132498e-01 2.46412019e+00
9.94108998e-01 2.51860712e+00
9.95085498e-01 2.58178769e+00
9.96061999e-01 2.65733975e+00
9.97038499e-01 2.75201383e+00
9.98014999e-01 2.88053559e+00
9.98991500e-01 3.08771757e+00
9.99968000e-01 3.99755546e+00
