aaaah	0.520	0.636	0.282
abacus	0.510	0.276	0.485
abandon	0.052	0.519	0.245
abandoned	0.046	0.481	0.130
abandonment	0.128	0.430	0.202
abba	0.562	0.500	0.480
abduction	0.062	0.990	0.673
ability	0.875	0.510	0.816
abject	0.354	0.590	0.417
ablaze	0.240	0.847	0.525
able	0.786	0.500	0.810
abnormal	0.137	0.604	0.309
abode	0.620	0.302	0.500
abomination	0.078	0.755	0.518
aboriginal	0.448	0.427	0.542
abortion	0.082	0.770	0.283
abracadabra	0.673	0.632	0.434
abrasive	0.392	0.610	0.593
abroad	0.677	0.596	0.561
absence	0.153	0.235	0.266
absent	0.177	0.221	0.116
absinthe	0.481	0.510	0.462
absolute	0.526	0.510	0.827
absolution	0.715	0.500	0.664
absorb	0.469	0.558	0.670
absorbed	0.490	0.471	0.519
absorbent	0.552	0.394	0.718
absorption	0.609	0.422	0.446
abstinence	0.260	0.392	0.429
abstract	0.438	0.292	0.444
abstraction	0.469	0.439	0.525
absurd	0.188	0.656	0.284
absurdity	0.115	0.528	0.227
abuse	0.071	0.873	0.469
abusive	0.125	0.903	0.567
abysmal	0.250	0.710	0.598
abyss	0.353	0.725	0.296
academic	0.781	0.420	0.812
academy	0.704	0.473	0.792
accelerate	0.615	0.902	0.759
accelerator	0.593	0.830	0.812
accent	0.598	0.357	0.509
accept	0.847	0.286	0.565
acceptable	0.812	0.286	0.583
acceptance	0.833	0.287	0.755
accessible	0.796	0.410	0.645
accessory	0.562	0.292	0.445
accident	0.125	0.908	0.336
accidental	0.319	0.784	0.307
accompaniment	0.740	0.479	0.695
accomplished	0.870	0.520	0.798
accord	0.898	0.264	0.382
accordion	0.604	0.490	0.361
accurate	0.743	0.360	0.737
accusation	0.073	0.718	0.564
accusing	0.156	0.745	0.324
ace	0.643	0.481	0.546
ache	0.146	0.760	0.312
achieve	0.816	0.545	0.843
aching	0.053	0.880	0.348
achy	0.167	0.840	0.373
acid	0.265	0.642	0.566
acme	0.408	0.435	0.375
acorn	0.448	0.198	0.192
acoustic	0.542	0.462	0.536
acoustics	0.611	0.330	0.509
acquaint	0.646	0.491	0.639
acquaintance	0.656	0.290	0.670
acquire	0.833	0.468	0.700
acquisition	0.698	0.509	0.736
acrobat	0.708	0.828	0.602
acrylic	0.582	0.279	0.420
act	0.656	0.704	0.735
acting	0.698	0.643	0.500
action	0.760	0.898	0.802
active	0.847	0.730	0.731
activist	0.531	0.653	0.877
activity	0.701	0.660	0.807
actor	0.653	0.561	0.629
actress	0.633	0.556	0.596
actual	0.729	0.400	0.716
acute	0.427	0.652	0.534
ad	0.521	0.705	0.558
adamant	0.344	0.529	0.575
adapt	0.740	0.355	0.551
adaptation	0.663	0.365	0.609
add	0.728	0.490	0.554
added	0.562	0.405	0.509
addict	0.075	0.696	0.327
addicted	0.156	0.712	0.483
addiction	0.180	0.806	0.420
addictive	0.302	0.683	0.472
addition	0.562	0.373	0.471
additive	0.561	0.633	0.691
address	0.650	0.327	0.567
adept	0.594	0.539	0.789
adequate	0.854	0.264	0.705
adieu	0.250	0.471	0.342
adjective	0.570	0.316	0.569
administration	0.625	0.404	0.786
admirable	0.929	0.600	0.870
admiral	0.844	0.490	0.847
admiration	0.969	0.583	0.726
ado	0.520	0.423	0.385
adolescence	0.487	0.694	0.444
adolescent	0.781	0.680	0.509
adoption	0.625	0.566	0.589
adorable	0.969	0.519	0.457
adoration	0.885	0.699	0.708
adore	0.854	0.438	0.657
adoring	0.885	0.620	0.717
adrenalin	0.865	0.920	0.786
adrenaline	0.765	0.965	0.825
adrift	0.398	0.486	0.230
adult	0.815	0.491	0.787
adultery	0.120	0.922	0.510
adulthood	0.541	0.454	0.652
advance	0.673	0.472	0.858
advanced	0.844	0.623	0.797
advent	0.665	0.560	0.627
adventure	0.917	0.857	0.710
adventures	0.812	0.764	0.749
adventurous	0.969	0.898	0.722
adversity	0.276	0.760	0.538
advertise	0.500	0.529	0.580
advertisement	0.600	0.566	0.539
advertising	0.622	0.608	0.632
adverts	0.551	0.500	0.595
advice	0.698	0.408	0.688
advised	0.823	0.330	0.509
adviser	0.745	0.362	0.705
advisor	0.646	0.350	0.689
aegis	0.490	0.439	0.462
aerial	0.615	0.461	0.463
aerobics	0.708	0.771	0.627
aerodynamic	0.561	0.724	0.728
aeroplane	0.714	0.642	0.644
aerospace	0.643	0.520	0.779
aesthetic	0.708	0.442	0.526
affair	0.520	0.459	0.657
affecting	0.350	0.574	0.394
affection	0.898	0.559	0.696
affectionate	0.949	0.422	0.550
affinity	0.800	0.500	0.537
affirm	0.745	0.509	0.731
affirmation	0.750	0.500	0.689
affirmative	0.854	0.589	0.816
afflicted	0.271	0.500	0.167
afraid	0.010	0.775	0.245
aft	0.480	0.417	0.518
afterlife	0.571	0.567	0.568
aftermath	0.312	0.449	0.444
afternoon	0.533	0.388	0.339
aftertaste	0.354	0.362	0.455
aga	0.542	0.327	0.398
agape	0.612	0.529	0.464
age	0.561	0.226	0.498
aged	0.135	0.365	0.236
agent	0.480	0.439	0.755
aggresive	0.059	0.971	0.639
aggression	0.094	0.929	0.533
aggressive	0.125	0.949	0.648
agh	0.260	0.500	0.400
aging	0.214	0.255	0.284
agitate	0.300	0.796	0.593
agitated	0.444	0.882	0.491
agnostic	0.306	0.396	0.574
ago	0.317	0.280	0.404
agonizing	0.083	0.800	0.340
agony	0.083	0.775	0.393
agoraphobia	0.127	0.712	0.438
agree	0.906	0.260	0.545
agreeable	0.906	0.500	0.696
agressive	0.083	0.918	0.751
agriculture	0.640	0.357	0.465
agua	0.598	0.180	0.436
ahhh	0.562	0.517	0.241
ahhhhhhhh	0.552	0.649	0.288
ahoy	0.500	0.497	0.380
aid	0.796	0.491	0.541
aids	0.561	0.480	0.500
aim	0.481	0.569	0.567
aimless	0.150	0.267	0.183
air	0.708	0.163	0.427
airbag	0.510	0.402	0.433
airborne	0.542	0.519	0.385
airliner	0.667	0.777	0.647
airlock	0.398	0.520	0.447
airplane	0.719	0.702	0.708
airport	0.729	0.684	0.682
airs	0.583	0.196	0.370
airtight	0.479	0.381	0.570
aka	0.459	0.358	0.351
alarm	0.241	0.882	0.698
alarm clock	0.542	0.727	0.642
alas	0.571	0.310	0.279
alb	0.521	0.380	0.427
albatross	0.500	0.445	0.527
albino	0.500	0.240	0.358
album	0.635	0.349	0.453
alchemy	0.541	0.583	0.693
alcohol	0.323	0.667	0.377
alcoholic	0.153	0.688	0.361
alcoholism	0.061	0.779	0.407
ale	0.530	0.450	0.358
